Brand:,Product name,Processor,Video graphics,Video graphics Memorey,RAM,Hard drive,Display,Display Resolution,Display Refresh Rate,Operating System,Keyboard,Battery,Webcam,Connections,Dimensions,Weight,Colors,Warranty,Price,Processor Generation,Processor Details,Product number,Power supply type,Laptop Color,Finger Print,SUPPORT SSD M2,Pointing device,Optical drive,Series :
Lenovo,Legion Pro 5 16IRX8,Intel Core i7-13700HX,Nvidia GeForce RTX 4070 8GB,8GB GDDR6,16GB 2x 8GB SO-DIMM DDR5-4800,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,"16"" WQXGA (2560x1600) IPS 300nits Anti-glare, 100% sRGB, 165Hz, Dolby Vision®, G-SYNC®, Low Blue Light",2560 x 1600,165 HZ,Windows 11 Home,"4-Zone RGB Backlit, English (US)",Integrated 80Wh,FHD 1080p with E-shutter,"1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x USB 3.2 Gen 1 (Always On) 3x USB 3.2 Gen 1 1x USB-C® 3.2 Gen 2 (support data transfer and DisplayPort™ 1.4) 1x USB-C® 3.2 Gen 2 (support data transfer, Lenovo®",363.4 x 260.35 x 22.45-26.75 mm,2.55 kg,Onyx Grey,1 Year,91999,13th generation,"16C (8P + 8E) / 24T, P-core 2.1 / 5.0GHz, E-core 1.5 / 3.6GHz, 30MB",82WK000DUS,,,,,,,
HP,Victus 15-fa1096ne,Intel® Core™ i7-13700H,NVIDIA® GeForce RTX™ 4050,6 GB GDDR6,16 GB DDR4-3200 MT/s,512 GB PCIe® Gen4 NVMe™ M.2 SSD,"15.6"" diagonal, FHD (1920 x 1080), 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",1920 x 1080,144 Hz,DOS,"Full-size, backlit, performance blue keyboard with numeric keypad","4-cell, 70 Wh Li-ion polymer",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate; 1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4, HP Sleep and Charge); 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo 12",357 x 255 x 23.5 mm,2.29 kg,Performance blue,1 Year,45999,13th generation,"up to 5.0 GHz with Intel® Turbo Boost Technology, 24 MB L3 cache, 14 cores, 20 threads",86J64EA,,,,,,,
HP,Victus 15-fa1041ne,Intel® Core™ i5-13500H,NVIDIA® GeForce RTX™ 3050,6 GB GDDR6,8 GB DDR4-3200 MT/s,512 GB PCIe® Gen4 NVMe™ M.2 SSD,"15.6"" diagonal, FHD , 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC 3",1920 x 1080,144 Hz,DOS,"Full-size, backlit, performance blue keyboard with numeric keypad","4-cell, 70 Wh Li-ion polymer",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate; 1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4, HP Sleep and Charge); 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",357.9 x 255 x 23.5 mm,2.29 kg,Performance blue,1 Year,35000,13th generation,"up to 4.7 GHz with Intel® Turbo Boost Technology, 18 MB L3 cache, 12 cores, 16 threads",803D7EA,,,,,,,
Lenovo,IdeaPad Gaming 3 15ACH6,AMD Ryzen™ 5 5500H,NVIDIA® GeForce RTX™ 2050,4GB GDDR6,8GB SO-DIMM DDR4-3200,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD IPS 300nits Anti-glare, 45% NTSC, 144Hz",1920x1080,144 Hz,DOS,"White Backlit, Arabic",Integrated 45Wh,HD 720p with Privacy Shutter,2x USB 3.2 Gen 1 1x USB-C® 3.2 Gen 1 (support data transfer only) 1x HDMI® 2.0 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Power connector,359.6 x 251.9 x 24.2 mm,2.25 kg,Shadow Black,1 Year,31399,,"4C / 8T, 3.3 / 4.2GHz, 2MB L2 / 8MB L3",82K2029AED,,,,,,,
Lenovo,LOQ 15IRX9,Intel Core i7-13650HX,NVIDIA® GeForce RTX™ 4060,8GB GDDR6,1x 16GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",1920 x 1080,144 Hz,DOS,"White Backlit, Arabic",Integrated 60Wh,FHD 1080p with E-shutter,"3x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Power connector",359.86 x 258.7 x 21.9-23.9 mm,2.38 kg,Luna Grey,1 Year,52499,13th generation,"14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB",83DV000CAX,,,,,,,
Lenovo,Lenovo LOQ 15IRX9,Intel® Core™ i5-13450HX,NVIDIA® GeForce RTX™,6GB GDDR6,16GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",1920x1080,144 Hz,DOS,"White Backlit, Arabic",Integrated 60Wh,FHD 1080p with E-shutter,"3x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Power connector",359.86 x 258.7 x 21.9-23.9 mm,2.38 kg,Luna Grey,1 Year,38888,13th generation,"10C (6P + 4E) / 16T, P-core 2.4 / 4.6GHz, E-core 1.8 / 3.4GHz, 20MB",83DV00P4AX,,,,,,,
Lenovo,Legion 7 16IRX9,Intel® Core™ i9-14900HX,NVIDIA® GeForce RTX™ 4070,8GB GDDR6,16GB SO-DIMM DDR5-5600,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,"16"" WQXGA IPS 500nits Anti-glare, 100% sRGB, 240Hz, DisplayHDR™ 400, Dolby Vision®",2560x1600,240 HZ,Windows11 Home,"Per-key RGB Backlit, English (US)",Integrated 99.9Wh,FHD 1080p with E-shutter,"1x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On 1x USB-C® (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4 1x USB-C® (Thunderbolt™ 4 / USB4® 40Gbps), with PD",357.7 x 262.5 x 17.6-19.8 mm,2.24 kg,Eclipse Black,1 Year,105000,14th generation,"24C (8P + 16E) / 32T, P-core 2.2 / 5.8GHz, E-core 1.6 / 4.1GHz, 36MB",83FD004XUS,,,,,,,
Dell,Alienware m16 R2,Intel® Core™ Ultra 7 155H,NVIDIA® GeForce RTX™ 4070,8 GB GDDR6,"16GB, 2x8GB, DDR5",1TB SSD,"16"", QHD+, 240Hz, Non-Touch, 100% sRGB, 3ms, Advanced Optimus, CV Plus, NVIDIA G-SYNC",2560x1600,240 HZ,Windows11 Home,Full-size island-style keyboard with numeric keypad,90Wh Battery,1080p at 30 fps FHD RGB+IR camera Dual-array microphones,"1 Type-A USB 3.2 Gen 1 Port with PowerShare 1 Type-A USB 3.2 Gen 1 Port 1 Type-C Port (Includes Thunderbolt™ 4.0, USB 3.2 Gen 2, DisplayPort 1.4 (iGPU) and 15W Power Delivery (3A/5V) capabilities) 1 Type-C Port (USB 3.2 Gen 2, DisplayPort 1.4 (dGPU)) 1 HD",23.50 x 363.90 x 249.40 mm,2.61 kg,Black,1 Year,99999,,,,,,,,,,
Lenovo,Legion 5 16IRX9,Intel® Core™ i9-14900HX,NVIDIA® GeForce RTX™ 4070,8GB GDDR6,16GB SO-DIMM DDR5-5600,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,"16"" WQXGA IPS 350nits Anti-glare, 100% sRGB, 165Hz, Dolby Vision®, G-SYNC®,",2560x1600,165 HZ,Windows11 Home,"4-Zone RGB Backlit, English (US)",Integrated 80Wh,FHD 1080p with E-shutter,"2x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60H",359.7 x 262.3 x 19.7-25.2 mm,2.36 kg,Luna Grey,1 Year,95999,14th generation,"24C (8P + 16E) / 32T, P-core 2.2 / 5.8GHz, E-core 1.6 / 4.1GHz, 36MB",83DG00BCUS,,,,,,,
MSI,Thin 15 B12VE,Intel Core i5-12450H,NVIDIA® GeForce RTX™ 4050,6GB GDDR6,8GB Ram DDR4-3200,512GB SSD,"15.6"" FHD (1920x1080), 144Hz, IPS-Level",1920x1080,144 Hz,Windows11 Home,Single Backlit Keyboard (Blue),3-Cell 52.4 Battery (Whr),IR HD type (30fps@720p),1x Type-C (USB3.2 Gen1 / DisplayPort™) 3x Type-A USB3.2 Gen1 1x HDMI™ (4K @ 30Hz) 1x RJ45,359 x 254 x 21.7 mm,1.86 kg,Gray,2 years,39999,12th generation,,,,,,,,,
Lenovo,Legion 5 16IRX9,Intel Core i7-14650HX,NVIDIA® GeForce RTX™ 4060,8GB GDDR6,16GB SO-DIMM DDR5-5600,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,"16"" WQXGA IPS 500nits Anti-glare, 100% sRGB, 240Hz, DisplayHDR™ 400, Dolby Vision®, G-SYNC®",2560x1600,240 HZ,Windows 11 Home,"4-Zone RGB Backlit, Arabic",Integrated 80Wh,FHD 1080p with E-shutter,"2x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60H",359.7 x 262.3 x 19.7-25.2 mm,2.36 kg,Luna Grey,1 Year,69888,14th generation,"16C (8P + 8E) / 24T, P-core 2.2 / 5.2GHz, E-core 1.6 / 3.7GHz, 30MB",83DG004WED,,,,,,,
Lenovo,Legion 5 15ARP8,AMD Ryzen™ 7 7735HS,NVIDIA® GeForce RTX™ 4060,8GB GDDR6,16GB SO-DIMM DDR5,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" WQHD IPS 350nits Anti-glare, 100% sRGB, 165Hz, Dolby Vision®, FreeSync™, G-SYNC®",2560x1440,165 HZ,Windows11 Home,"White backlit, English (US)",Integrated 60Wh,HD 720p with E-Shutter,"1x USB 3.2 Gen 1 (Always On) 2x USB 3.2 Gen 1 1x USB-C® 3.2 Gen 2 (support data transfer, Lenovo® Power Delivery 135W and DisplayPort™ 1.4) 1x USB-C® 3.2 Gen 2 (support data transfer and DisplayPort™ 1.4) 1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microph",358.8 x 262.35 x 19.9-24.05 mm,2.4 kg,Storm Grey,1 Year,63333,,"8C / 16T, 3.2 / 4.75GHz, 4MB L2 / 16MB L3",83EF0003US,,,,,,,
Dell,G15 5530,Intel Core i7-13650HX,NVIDIA® GeForce RTX™ 3050 6GB,6GB GDDR6,"16GB, 2x8GB, DDR5, 4800MHz","512GB, M.2, PCIe NVMe, SSD","15.6"" FHD (1920x1080) 120Hz Display",1920 x 1080,120 Hz,DOS,Arabic Qwerty 4-Zone RGB Backlit Keyboard with Numeric Keypad and G-Key,"3-Cell Battery, 56WHr (Integrated)",,1 headset (headphone and microphone combo) port 1 RJ45 Ethernet port 3 USB 3.2 Gen 1 ports 1 HDMI 2.1 port 1 USB-C 3.2 Gen 2 port with DisplayPort™,357.26 x 274.52 x 26.95 mm,2.81 kg,Dark Gray,1 Year,52999,13th generation,"24 MB cache, 14 core, up to 4.90 GHz",,,,,,,,
Lenovo,Legion Pro 7 16IRX9H,Intel Core i9-14900HX,NVIDIA® GeForce RTX™ 4090 16GB,16GB GDDR6,32GB 2x 16GB SO-DIMM DDR5-5600,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,"16"" WQXGA IPS 500nits Anti-glare, 100% DCI-P3, 240Hz, DisplayHDR™ 400, Dolby Vision®, G-SYNC®, Low Blue Light, High Gaming Performance",2560x1600,240 HZ,DOS,"Per-key RGB Backlit (with Lighting Lens), Arabic",Integrated 99.9Wh,FHD 1080p with E-shutter,"1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On 3x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4 1x USB-C® (Thunderbolt™ 4 / USB4® 40Gbps), with DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/",363.5 x 262.1 x 21.95-25.9 mm,2.62 kg,Eclipse Black,1 Year,235000,14th generation,"24C (8P + 16E) / 32T, P-core 2.2 / 5.8GHz, E-core 1.6 / 4.1GHz, 36MB",83DE000DAX,,,,,,,
HP,Victus 16-R1052NE,Intel Core i7-14700HX,NVIDIA® GeForce RTX™ 4070 8GB,8GB GDDR6,16 GB DDR5-5600 MT/s (2 x 8 GB),1 TB PCIe® Gen4 NVMe™ M.2 SSD,"40.9 cm (16.1"") diagonal, FHD, 144 Hz, IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB",1920 x 1080,144 Hz,DOS,"Full-size, backlit, performance blue opaque keyboard with numeric keypad","4-cell, 70 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",369 x 259.4 x 22.9 mm,2.33 kg,Performance blue,1 Year,67999,14th generation,"up to 5.5 GHz with Intel® Turbo Boost Technology, 33 MB L3 cache, 20 cores, 28 threads",9X709EA,230 W Smart AC power adapter,,,,,,
HP,Victus 16-R0043NE,Intel Core i7-13700H,NVIDIA® GeForce RTX™ 4060 8GB,8GB GDDR6,16 GB DDR5-5200 MT/s (2 x 8 GB),1 TB PCIe® Gen4 NVMe™ M.2 SSD,"40.9 cm (16.1"") diagonal, FHD, 144 Hz, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",1920 x 1080,144 Hz,DOS,"Full-size, backlit, performance blue opaque keyboard with numeric keypad","4-cell, 70 Wh Li-ion polymer",HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",369 x 259.4 x 22.9 mm,2.33 kg,Performance blue,1 Year,53999,13th generation,"up to 5.0 GHz with Intel® Turbo Boost Technology, 24 MB L3 cache, 14 cores, 20 threads",81P96EA,,,,,,,
ASUS,ROG Strix G16 G614JV-N3487W,Intel Core i7-13650HX,Nvidia GeForce RTX 4060 8GB,8GB GDDR6,16GB DDR5-4800 SO-DIMM,1TB PCIe® 4.0 NVMe™ M.2 SSD,"16-inch FHD+ 16:10 (1920 x 1200, WUXGA) IPS-level Anti-glare display sRGB: 100% Refresh Rate: 165Hz Response Time: 7ms G-Sync MUX Switch + NVIDIA® Advanced Optimus Support Dolby Vision HDR : Yes",1920 x 1200,165 HZ,Windows 11 Home,Backlit Chiclet Keyboard 4-Zone RGB Touchpad,"90WHrs, 4S1P, 4-cell Li-ion",720P HD camera,1x 3.5mm Combo Audio Jack 1x HDMI 2.1 FRL 2x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps) 1x USB 3.2 Gen 2 Type-C with support for DisplayPort™ / power delivery / G-SYNC (data speed up to 10Gbps) 1x RJ45 LAN port 1x Thunderbolt™ 4 with support for Displ,354 x 264 x 22.6 ~ 30.4 mm,2.50 Kg,Eclipse Gray,1 Year,62999,13th generation,"2.6 GHz 24M Cache, up to 4.9 GHz, 14 cores: 6 P-cores and 8 E-cores",,,,,,,,
ASUS,TUF Gaming A15 FA506NCR-HN007W,AMD Ryzen 7 7435HS,Nvidia GeForce RTX 3050 4GB,4GB GDDR6,8GB DDR5-5600 SO-DIMM,512GB PCIe 4.0 NVMe M.2 SSD,15.6-inch FHD (1920 x 1080) 16:9 144Hz Value IPS-level NTSC 45% SRGB 62.5% Adobe 7.34%,1920 x 1080,144 Hz,Windows 11 Home,Backlit Chiclet Keyboard 1-Zone RGB,"48WHrs, 3S1P, 3-cell Li-ion",720P HD camera,1x RJ45 LAN port 1x USB 3.2 Gen 2 Type-C support DisplayPort 3x USB 3.2 Gen 1 Type-A 1x HDMI 2.1 TMDS 1x 3.5mm Combo Audio Jack,359 x 256 x 22.8 ~ 24.5 mm,2.30 Kg,,1 Year,32666,,"3.1GHz (20MB Cache, up to 4.5 GHz, 8 cores, 16 Threads",,,,,,,,
ASUS,TUF Gaming A15 FA506NFR-HN007W,AMD Ryzen 7 7435HS,Nvidia GeForce RTX 2050 4GB,4GB GDDR6,8GB DDR5-4800 SO-DIMM,512GB PCIe® 4.0 NVMe™ M.2 SSD,"15.6 inches, FHD 16:9, Value IPS-level, Anti-glare display, sRGB:62.5%, Adobe:47.34%, Refresh Rate:144 Hz, Adaptive-Sync, Discrete",1920 x 1080,144 Hz,Windows 11 Home,Backlit Chiclet Keyboard RGB,"48Wh, 3S1P, 3-cell Lithium Ion",720P HD camera,1x 3.5mm Combo Audio Jack 1x HDMI 2.1 TMDS 1x USB 3.2 Gen 2 Type-C - Digital Display Interface Port support 1x RJ45LAN port 3x USB 3.2 Gen 1 Type-A (data speed up to 5Gbps),359 x 256 x 2.45 mm,2.30 Kg,Graphite Black,1 Year,32499,,"3.1GHz (20MB Cache, up to 4.5 GHz, 8 cores, 16 Threads",,,,,,,,
Lenovo,Legion 5 16IRX9,Intel Core i7-14650HX,NVIDIA® GeForce RTX™ 4060 8GB,"8GB GDDR6,",1x 16GB SO-DIMM DDR5-5600,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,"16"" WQXGA IPS 500nits Anti-glare, 100% sRGB, 240Hz, DisplayHDR™ 400, Dolby Vision®, G-SYNC®, Low Blue Light",2560 x 1600,240 HZ,DOS,"4-Zone RGB Backlit, Arabic",Integrated 80Wh,FHD 1080p with E-shutter,"2x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60H",359.7 x 262.3 x 19.7-25.2 mm,2.36 kg,Luna Grey,1 Year,78888,14th generation,"16C (8P + 8E) / 24T, P-core 2.2 / 5.2GHz, E-core 1.6 / 3.7GHz, 30MB",83DG00C6ED,,,,,,,
HP,Victus 15-FA0033DX,Intel Core i5-12450H,Nvidia GeForce RTX 3050 4GB,4 GB GDDR6,8 GB DDR4-3200 MT/s (1 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,"39.6 cm (15.6) diagonal, FHD, 144 Hz, IPS,",1920 x 1080,144 Hz,Windows 11 Home,"Full-size, backlit, performance blue keyboard with numeric keypad","4-cell, 70 Wh Li-ion polymer",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4, HP Sleep and Charge); 1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-A 5Gbps signaling rate; 1 AC smart pin; 1 HDMI 2.1; 1 headphone/microphone combo; 1 RJ-45",357.88 x 255 x 23.62 mm,2.29 kg,Performance blue,1 Year,30999,12th generation,"up to 4.4 GHz with Intel® Turbo Boost Technology, 12 MB L3 cache, 8 cores, 12 threads",9T9R8UA,,,,,,,
Lenovo,LOQ 15IRX9,Intel Core i7-13650HX,NVIDIA® GeForce RTX™ 4050 6GB,6GB GDDR6,1x 16GB SO-DIMM DDR5-4800,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",1920 x 1080,144 Hz,Windows® 11 Home,"White Backlit, English",Integrated 60Wh,HD 720p with E-Shutter,"3x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Power connector",359.86 x 258.7 x 21.9-23.9 mm,2.38 kg,Luna Grey,1 Year,48888,13th generation,"14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB",83DV00J8IN,,,,,,,
Lenovo,LOQ 15IAX9,Intel® Core™ i5-12450HX,NVIDIA® GeForce RTX™ 3050,6GB GDDR6,1x 12GB SO-DIMM DDR5-4800,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",1920x1080,144 Hz,DOS,"White Backlit, English (UK)",Integrated 60Wh,HD 720p with E-Shutter,"3x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Power connector",359.86 x 258.7 x 21.9-23.9 mm,2.38 kg,Luna Grey,1 Year,36999,12th generation,"8C (4P + 4E) / 12T, P-core up to 4.4GHz, E-core up to 3.1GHz, 12MB",83GS0087PS,,,,,,,
Lenovo,Legion Pro 5 16IRX8,Intel Core i7-13700HX,NVIDIA® GeForce RTX™ 4060 8GB,8GB GDDR6,16GB 2x 8GB SO-DIMM DDR5-4800,1TB SSD M.2 2280 PCIe® 4.0x4 NVMe®,"16"" WQXGA IPS 500nits Anti-glare, 100% sRGB, 240Hz, DisplayHDR™ 400, Dolby Vision®, G-SYNC®, Low Blue Light, High Gaming Performance",2560 x 1600,240 HZ,Windows 11 Home,"4-Zone RGB Backlit, Arabic",Integrated 80Wh,FHD 1080p with E-shutter,"1x USB 3.2 Gen 1 (Always On) 3x USB 3.2 Gen 1 1x USB-C® 3.2 Gen 2 (support data transfer and DisplayPort™ 1.4) 1x USB-C® 3.2 Gen 2 (support data transfer, Lenovo® Power Delivery 140W and DisplayPort™ 1.4) 1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microph",363.4 x 260.35 x 22.45-26.75 mm,2.55 kg,Onyx Grey,1 Year,72999,13th generation,"16C (8P + 8E) / 24T, P-core 2.1 / 5.0GHz, E-core 1.5 / 3.6GHz, 30MB",82WK00M5ED,,,,,,,
Lenovo,LOQ 15IRX9,Intel® Core™ i7-13650HX,NVIDIA® GeForce RTX™ 3050 6GB GDDR6,6GB GDDR6,1x 16GB SO-DIMM DDR5-4800,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz, G-SYNC®",1920 x 1080,144 Hz,Windows® 11 Home,"White Backlit, English",Integrated 60Wh,HD 720p with E-Shutter,"3x USB-A (USB 5Gbps / USB 3.2 Gen 1) 1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4 1x HDMI® 2.1, up to 8K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Power connector",359.86 x 258.7 x 21.9-23.9 mm,2.38 kg,Luna Grey,1 Year,45499,13th generation,"14C (6P + 8E) / 20T, P-core 2.6 / 4.9GHz, E-core 1.9 / 3.6GHz, 24MB",83DV00JYIN,,,,,,,
HP,Victus 15-FA1043NE,Intel Core i5-13500H,NVIDIA® GeForce RTX™ 3050 4GB6,6GB GDDR6,8GB DDR4-3200 MT/s (1 x 8 GB),512 GB PCIe® Gen4 NVMe™ M.2 SSD,"39.6 cm (15.6"") diagonal, FHD (1920 x 1080), 144 Hz, 9 ms response time, IPS, micro-edge, anti-glare, 250 nits, 45% NTSC",1920 x 1080,144 Hz,DOS,"Full-size, backlit, mica silver keyboard with numeric keypad","4-cell, 70 Wh Li-ion polymer",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-A 5Gbps signaling rate; 1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4, HP Sleep and Charge); 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo",357.9 x 255 x 23.5 mm,2.29 kg,Mica silver,1 Year,34477,13th generation,"up to 4.7 GHz with Intel® Turbo Boost Technology, 18 MB L3 cache, 12 cores, 16 threads",803F0EA,,,,,,,
HP,Victus 15-FA0025NR,Intel Core I5-12500H,NVIDIA® GeForce RTX™ 3050 4GB,4GB GDDR6,8 GB DDR4-3200 MHz RAM (2 x 4 GB),512 GB PCIe® Gen4 NVMe™ TLC M.2 SSD,"15.6"" diagonal FHD display",1920 x 1080,,Windows 11 Home,"Full-size, backlit, mica silver keyboard with numeric keypad","4-cell, 70 Wh Li-ion polymer",HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones,"1 USB Type-C® 5Gbps signaling rate (DisplayPort™ 1.4, HP Sleep and Charge); 1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-A 5Gbps signaling rate; 1 AC smart pin; 1 HDMI 2.1; 1 headphone/microphone combo; 1 RJ-45",357 x  255 x 23.6 mm,2.29 kg,Mica silver,1 Year,36249,12th generation,"up to 4.5 GHz with Intel® Turbo Boost Technology, 18 MB L3 cache, 12 cores, 16 threads",6E0L0UA,,,,,,,
